Sample Size (epochs),Percent,Sample Type,Labelled
3,99.24,good,good
3,0.76,good,faulty
3,0,good,malicious
6,99.76,good,good
6,0.24,good,faulty
6,0,good,malicious
10,100,good,good
10,0,good,faulty
10,0,good,malicious
3,16.99,faulty,good
3,77.95,faulty,faulty
3,5.06,faulty,malicious
6,5.86,faulty,good
6,92.08,faulty,faulty
6,2.03,faulty,malicious
10,3.99,faulty,good
10,96.01,faulty,faulty
10,0,faulty,malicious
3,1.25,malicious,good
3,12.52,malicious,faulty
3,86.23,malicious,malicious
6,0,malicious,good
6,3.35,malicious,faulty
6,96.65,malicious,malicious
10,0,malicious,good
10,0.93,malicious,faulty
10,99.07,malicious,malicious
